"","Date","value.    Stage (mm) at Kumeti at Te Rehunga","value.    Stage (mm) at Makakahi at Hamua","value.    Stage (mm) at Makuri at Tuscan Hills","value.   Stage (mm) at Makuri at Tuscan Hills","value.    Stage (mm) at Manawatu at Hopelands","value.    Stage (mm) at Manawatu at Upper Gorge","value.    Stage (mm) at Manawatu at Weber Road","value.    Stage (mm) at Mangahao at Ballance","value.   Stage (mm) at Mangapapa at Troup Rd","value.    Stage (mm) at Mangapapa at Troup Rd","value.    Stage (mm) at Mangatainoka at Larsons Road","value.    Stage (mm) at Mangatainoka at Pahiatua Town Bridge","value.    Stage (mm) at Mangatoro at Mangahei Road","value. Stage (mm) at Mangatoro at Mangahei Road","value.  Stage (mm) at Mangatoro at Mangahei Road","value.  Stage (mm) at Raparapawai at Jackson Rd","value.    Stage (mm) at Raparapawai at Jackson Rd"
"    Stage (mm) at Kumeti at Te Rehunga.2005.30.January",2005-01-30,1541,5370,2724,NA,4754,1325,2496,2081,NA,2,4620,3071,452,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2005.31.January",2005-01-31,1395,5181,2717,NA,4596,1186,2354,1887,NA,2,4516,2959,403,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.1.January",2006-01-01,3897,6085,3020,NA,329,3380,4198,5532,NA,2,990,4495,1276,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.2.January",2006-01-02,3834,5750,3068,NA,212,2645,3994,4548,NA,2,1635,3413,1209,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.3.January",2006-01-03,3561,761,2964,NA,335,2695,4183,4493,NA,2,1149,3813,1228,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.4.January",2006-01-04,3648,1680,5153,NA,805,5383,4397,1937,NA,2,1406,3452,1659,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.5.January",2006-01-05,3482,5940,3863,NA,1043,5523,5031,13,NA,2,4823,1954,1603,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.6.January",2006-01-06,3522,5423,4864,NA,1853,5411,5709,446,NA,2,5514,1720,2090,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.7.January",2006-01-07,3299,4148,3925,NA,1359,4778,5381,5433,NA,2,3095,535,1625,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.8.January",2006-01-08,3204,3053,3326,NA,539,3818,4609,4759,NA,2,2025,5746,1101,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.9.January",2006-01-09,3222,2277,3080,NA,260,3181,4219,4408,NA,2,1402,5166,937,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.10.January",2006-01-10,3204,1791,2936,NA,6128,2773,4011,4148,NA,2,968,4733,907,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.11.January",2006-01-11,3244,1259,2764,NA,5893,2385,3819,3714,NA,2,570,4225,814,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.12.January",2006-01-12,3244,883,2789,NA,5732,2142,3601,3559,NA,2,1160,3796,767,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.13.January",2006-01-13,3054,1345,2858,NA,5873,2586,3752,5112,NA,2,1445,4409,884,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.14.January",2006-01-14,2894,955,2720,NA,5707,3309,3645,1138,NA,2,3502,5033,794,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.15.January",2006-01-15,2780,487,2552,NA,5483,2965,3412,5512,NA,2,864,4654,658,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.16.January",2006-01-16,2628,431,2435,NA,5221,2062,3088,4434,NA,2,316,3748,585,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.17.January",2006-01-17,2495,6077,2327,NA,4950,1665,2809,3837,NA,2,6069,3262,438,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.18.January",2006-01-18,2440,5787,2347,NA,4784,1454,2655,3554,NA,2,533,2823,403,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.19.January",2006-01-19,2532,890,2712,NA,5337,5791,2854,3777,NA,2,1628,3970,665,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.20.January",2006-01-20,2352,4173,2507,NA,5642,3785,3765,5144,NA,2,3476,698,562,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.21.January",2006-01-21,2283,2768,2318,NA,5126,2549,3080,4235,NA,2,2112,5605,420,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.22.January",2006-01-22,2163,1822,2290,NA,4800,1956,2674,3771,NA,2,1333,4791,361,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.23.January",2006-01-23,1993,1170,2241,NA,4589,1610,2388,3233,NA,2,822,4175,313,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.24.January",2006-01-24,1982,1024,2634,NA,4570,1440,2284,3223,NA,2,1887,3714,356,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.25.January",2006-01-25,5636,3983,4646,NA,218,2958,5064,5647,NA,2,2969,5794,1341,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.26.January",2006-01-26,4880,4675,5941,NA,5021,166,2775,74,NA,2,2597,292,4528,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.27.January",2006-01-27,3001,2929,3371,NA,2253,5037,138,4437,NA,2,1066,5553,1978,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.28.January",2006-01-28,2755,2022,2876,NA,1051,3602,5367,3667,NA,2,661,4665,1238,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.29.January",2006-01-29,2628,1450,2655,NA,511,2769,4731,3191,NA,2,336,4121,879,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.30.January",2006-01-30,2744,1066,2550,NA,152,2273,4339,2877,NA,2,66,3659,752,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2006.31.January",2006-01-31,3001,605,2422,NA,5952,1895,3940,2538,NA,2,5909,3167,575,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.1.January",2007-01-01,3873,449,2893,NA,5889,3267,3324,5718,NA,1774,1226,4768,705,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.2.January",2007-01-02,3793,295,2957,NA,5851,2960,3335,5373,NA,1786,836,4336,747,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.3.January",2007-01-03,3638,299,2929,NA,5821,2763,3519,5024,NA,1381,512,4044,773,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.4.January",2007-01-04,3457,103,2797,NA,5696,2483,3348,4694,NA,1045,244,3840,752,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.5.January",2007-01-05,3275,5966,2697,NA,5472,2182,3053,4406,NA,733,6142,3545,588,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.6.January",2007-01-06,3054,5646,2665,NA,5205,1937,2746,4213,NA,565,5880,3160,440,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.7.January",2007-01-07,2915,5425,2624,NA,5086,1742,2453,4073,NA,425,5953,3045,398,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.8.January",2007-01-08,2804,5384,2614,NA,5015,1621,2464,3998,NA,383,5761,2891,379,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.9.January",2007-01-09,2679,5319,2604,NA,4902,1531,2392,3926,NA,317,5694,2834,379,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.10.January",2007-01-10,2628,143,2988,NA,5225,1864,2835,4489,NA,2201,1297,3211,806,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.11.January",2007-01-11,2426,426,2895,NA,5737,2474,3496,4364,NA,1225,369,4027,1021,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.12.January",2007-01-12,2352,5778,2872,NA,6021,2109,4384,3931,NA,486,5773,3274,1741,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.13.January",2007-01-13,2201,5807,2750,NA,6071,2119,4632,3918,NA,782,5854,2916,1310,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.14.January",2007-01-14,2045,5682,2651,NA,5766,1950,3865,3831,NA,467,374,2805,866,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.15.January",2007-01-15,1882,5258,2547,NA,5202,1797,3155,4467,NA,243,49,2787,607,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.16.January",2007-01-16,1762,4860,2476,NA,4793,1482,2653,3861,NA,5882,5473,2556,431,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.17.January",2007-01-17,1701,4524,2425,NA,4522,1178,2383,3565,NA,5799,5133,2148,356,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.18.January",2007-01-18,1598,4447,2384,NA,4364,1042,2327,3445,NA,5736,4965,1928,283,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.19.January",2007-01-19,1428,4310,2378,NA,4221,919,2138,3300,NA,5546,4773,1807,216,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.20.January",2007-01-20,1306,4085,2395,NA,4097,842,1958,3250,NA,5510,4638,1679,191,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.21.January",2007-01-21,1198,4005,2481,NA,4035,878,1894,3359,NA,5583,5588,1579,187,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.22.January",2007-01-22,1071,3937,2816,NA,4373,2198,1909,800,NA,799,392,1710,332,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.23.January",2007-01-23,998,4310,3296,NA,4227,2978,1765,2405,NA,939,3000,2268,338,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.24.January",2007-01-24,1014,5201,3125,NA,4862,4202,2551,1293,NA,1806,996,4266,1114,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.25.January",2007-01-25,880,4747,3050,NA,5253,2878,2452,6141,NA,3116,977,3322,791,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.26.January",2007-01-26,812,4254,3039,NA,5428,2500,3312,5269,NA,2744,5745,2739,882,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.27.January",2007-01-27,679,4022,2764,NA,5564,2110,3662,4743,NA,1478,5261,2088,624,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.28.January",2007-01-28,584,4433,2643,NA,4928,1698,2814,4481,NA,867,5011,1756,570,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.29.January",2007-01-29,598,753,3129,NA,5240,3225,2905,1487,NA,2471,4280,4494,841,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.30.January",2007-01-30,467,1422,2918,NA,5262,3695,3250,695,NA,1455,4253,5769,608,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2007.31.January",2007-01-31,331,394,2574,NA,4794,2907,2713,5594,NA,486,1087,4889,318,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.1.January",2008-01-01,1982,382,1928,NA,5107,1515,3520,1013,NA,5610,5346,3152,165,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.2.January",2008-01-02,2104,5968,1849,NA,4916,1210,3236,789,NA,5061,4983,2606,15,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.3.January",2008-01-03,2163,5444,1812,NA,4633,973,2862,655,NA,4704,4724,2063,6014,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.4.January",2008-01-04,2211,5054,1804,NA,4418,784,2543,591,NA,3896,4610,1756,5966,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.5.January",2008-01-05,2163,4952,1791,NA,4479,724,2656,542,NA,4028,4469,1587,6002,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.6.January",2008-01-06,2077,4687,1761,NA,4437,643,2608,378,NA,3333,4189,1386,5898,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.7.January",2008-01-07,2017,4302,1780,NA,4319,571,2335,349,NA,2842,2115,1148,5883,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.8.January",2008-01-08,2045,5342,2652,NA,4943,1390,2657,2240,NA,3547,1839,1315,83,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.9.January",2008-01-09,1902,529,2791,NA,168,1383,4041,5379,NA,3648,4271,1308,562,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.10.January",2008-01-10,1799,5521,2043,NA,5432,4726,3111,2124,NA,1198,1552,5214,19,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.11.January",2008-01-11,1672,4620,1868,NA,4803,2984,2526,6018,NA,146,529,3966,5993,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.12.January",2008-01-12,1574,4072,1781,NA,4355,2007,2227,4997,NA,5475,6030,3032,5866,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.13.January",2008-01-13,1465,3538,1741,NA,4035,1480,1975,4132,NA,4813,5620,2391,5775,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.14.January",2008-01-14,1368,3074,1717,NA,3804,1109,1781,3645,NA,4393,5297,1924,5728,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.15.January",2008-01-15,1256,2658,1694,NA,3590,857,1611,3294,NA,3960,5069,1609,5672,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.16.January",2008-01-16,1115,2554,1681,NA,3478,685,1461,3148,NA,3584,5027,1401,5664,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.17.January",2008-01-17,998,2342,1651,NA,3205,515,1377,2756,NA,3042,4699,1259,5646,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.18.January",2008-01-18,915,2002,1616,NA,3055,289,1299,2357,NA,2282,4427,977,5602,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.19.January",2008-01-19,837,1645,1616,NA,3033,137,1320,2064,NA,1890,4258,687,5599,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.20.January",2008-01-20,799,1556,1625,NA,3097,62,1382,1903,NA,1890,4196,497,5629,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.21.January",2008-01-21,733,1711,1756,NA,3292,63,1550,1832,NA,2162,4238,449,5770,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.22.January",2008-01-22,664,2056,1697,NA,3402,115,1679,1807,NA,2627,4274,418,5761,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.23.January",2008-01-23,611,2283,1727,NA,3304,157,1486,3161,NA,2731,2303,1106,5666,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.24.January",2008-01-24,584,2915,1653,NA,3201,766,1252,2939,NA,3824,5317,2425,5660,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.25.January",2008-01-25,565,2833,1589,NA,2997,276,1250,2051,NA,2389,4661,1393,5666,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.26.January",2008-01-26,486,3064,1563,NA,2897,69,1420,1793,NA,1644,4394,944,5596,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.27.January",2008-01-27,541,2994,1696,NA,3065,6118,1450,1616,NA,1507,4126,758,5738,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.28.January",2008-01-28,425,2821,1686,NA,3455,35,2217,1418,NA,2389,4010,582,5792,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.29.January",2008-01-29,331,2755,1558,NA,3432,6133,1913,1228,NA,1207,3762,420,5589,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.30.January",2008-01-30,266,2247,1516,NA,2869,5923,1332,1078,NA,597,3547,306,5528,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.31.January",2008-01-31,182,1619,1464,NA,2565,5786,1135,1015,NA,225,3374,73,5489,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.1.January",2009-01-01,5862,5442,1919,NA,4015,1285,1382,2898,NA,400,792,2947,5765,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.2.January",2009-01-02,5933,5464,1878,NA,3766,1128,1126,2788,NA,102,6030,2924,5714,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.3.January",2009-01-03,33,5356,2117,NA,4174,1237,1214,3157,NA,2755,2901,2697,5874,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.4.January",2009-01-04,6058,244,2024,NA,4815,2350,1935,4882,NA,1828,1386,4484,5898,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.5.January",2009-01-05,4,5377,1855,NA,4390,1677,1577,3271,NA,317,106,3526,5734,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.6.January",2009-01-06,146,4554,1804,NA,3868,1151,1118,2813,NA,5965,5770,2556,5634,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.7.January",2009-01-07,331,4029,1787,NA,3458,901,924,2559,NA,5449,5451,2038,5543,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.8.January",2009-01-08,317,3657,1784,NA,3192,739,797,2499,NA,4859,5208,1748,5511,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.9.January",2009-01-09,504,3232,1758,NA,3037,625,702,2456,NA,4333,4904,1475,5458,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.10.January",2009-01-10,799,3021,1785,NA,3033,561,682,2461,NA,4599,5023,1301,5502,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.11.January",2009-01-11,915,5346,2414,NA,4668,1215,2315,3291,NA,3448,765,1802,6083,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.12.January",2009-01-12,867,6095,2248,NA,5572,1823,3662,3210,NA,1660,5841,2990,5970,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.13.January",2009-01-13,846,5105,2022,NA,5280,1562,2977,2653,NA,1132,5274,2315,5898,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.14.January",2009-01-14,821,4508,1900,NA,4998,1201,2753,2339,NA,205,4867,1783,5858,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.15.January",2009-01-15,799,3781,1793,NA,4621,956,2199,2094,NA,5583,4538,1388,5649,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.16.January",2009-01-16,733,3197,1743,NA,4252,710,1714,1820,NA,4813,4265,1080,5519,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.17.January",2009-01-17,611,2689,1708,NA,3871,506,1402,1682,NA,4333,4029,862,5397,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.18.January",2009-01-18,696,2532,1789,NA,3573,422,1227,1700,NA,5782,5918,789,5451,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.19.January",2009-01-19,733,4605,1865,NA,3874,1171,1498,3532,NA,298,1570,1503,5681,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.20.January",2009-01-20,400,5468,1813,NA,4573,1403,1932,2734,NA,6040,5602,2741,5484,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.21.January",2009-01-21,371,4294,1860,NA,4245,991,1376,2167,NA,5257,5079,1851,5431,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.22.January",2009-01-22,205,3707,1692,NA,3753,660,1080,1805,NA,4028,4529,1303,5294,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.23.January",2009-01-23,4,2852,1646,NA,3458,393,898,1588,NA,3150,4151,953,5208,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.24.January",2009-01-24,6080,2247,1623,NA,3218,254,758,1424,NA,2389,3799,665,5145,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.25.January",2009-01-25,6103,1735,1605,NA,3013,142,661,1284,NA,1773,3576,438,5131,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.26.January",2009-01-26,6103,1395,1594,NA,2913,47,602,1190,NA,1207,3392,244,5105,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.27.January",2009-01-27,4,1242,1692,NA,2887,50,582,1349,NA,1890,3491,176,5176,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.28.January",2009-01-28,5965,1105,1717,NA,3363,333,756,1985,NA,5327,3522,101,5346,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.29.January",2009-01-29,5933,1061,1609,NA,2996,200,694,1519,NA,2627,3244,21,5162,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.30.January",2009-01-30,5882,1071,1594,NA,2743,22,532,1283,NA,1367,3140,6117,5133,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.31.January",2009-01-31,5862,939,1570,NA,2581,6086,436,1143,NA,597,2943,6041,5099,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.1.January",2010-01-01,3552,1134,3146,NA,5870,4698,3560,678,NA,3754,1651,5831,1044,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.2.January",2010-01-02,3315,3883,4116,NA,5480,3987,2992,144,NA,2943,1501,6119,785,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.3.January",2010-01-03,3188,380,559,NA,5355,2343,3293,994,NA,2638,1910,4918,1503,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.4.January",2010-01-04,3105,3607,5474,NA,5396,2812,2993,860,NA,3232,4450,303,1103,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.5.January",2010-01-05,3043,273,4306,NA,5308,576,3143,3286,NA,2375,5659,3700,875,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.6.January",2010-01-06,3021,5206,3595,NA,5057,5495,2741,1693,NA,1586,4064,2040,716,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.7.January",2010-01-07,3030,4380,3240,NA,4884,4757,2451,1039,NA,1086,3099,1212,600,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.8.January",2010-01-08,3064,3929,3085,NA,4763,4335,2334,849,NA,954,3870,893,557,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.9.January",2010-01-09,3126,3216,2853,NA,4684,4040,2277,391,NA,504,2055,522,487,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.10.January",2010-01-10,3140,2606,2715,NA,4563,3494,2143,6078,NA,266,1511,63,387,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.11.January",2010-01-11,3126,3952,3347,NA,4736,3917,2330,979,NA,2780,5280,641,703,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.12.January",2010-01-12,3105,4500,3575,NA,4845,5109,2529,1927,NA,1522,3816,1521,708,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.13.January",2010-01-13,3105,3403,2869,NA,4759,4282,2411,700,NA,1028,2414,617,464,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.14.January",2010-01-14,3021,2646,2635,NA,4611,3592,2219,64,NA,355,1638,108,365,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.15.January",2010-01-15,2956,2121,2685,NA,4506,3083,2041,5784,NA,467,1137,5847,241,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.16.January",2010-01-16,2974,3661,3957,NA,5779,3407,3974,5485,NA,3951,2076,5878,2215,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.17.January",2010-01-17,2811,3442,3359,NA,693,4080,5013,5006,NA,3168,1062,6068,1992,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.18.January",2010-01-18,2698,2734,3055,NA,43,3719,4489,4686,NA,2146,620,5606,1529,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.19.January",2010-01-19,2542,2159,2726,NA,5617,3235,3877,4378,NA,1181,291,5207,1002,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.20.January",2010-01-20,2450,1622,3346,NA,5161,2772,3311,4122,NA,837,7,4869,676,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.21.January",2010-01-21,2471,1544,4700,NA,5402,3034,3350,4107,NA,1869,440,4649,1267,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.22.January",2010-01-22,2375,2252,6056,NA,1803,4492,850,4922,NA,4629,1841,5332,5081,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.23.January",2010-01-23,189,636,3133,NA,308,2800,5398,2497,NA,3534,5226,2654,3578,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.24.January",2010-01-24,5993,5739,441,NA,5783,2673,3627,1790,NA,1820,2801,1939,555,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.25.January",2010-01-25,5215,4601,5134,NA,3647,754,1100,1003,NA,369,1724,943,4772,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.26.January",2010-01-26,4490,4064,4562,NA,2449,5975,1294,107,NA,1357,2086,363,3871,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.27.January",2010-01-27,4274,4121,4221,NA,4184,167,2567,208,NA,6060,2276,500,4617,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.28.January",2010-01-28,4270,3158,3724,NA,3090,5701,1576,5503,NA,5194,1270,6115,4669,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.29.January",2010-01-29,4105,2540,3658,NA,2848,5375,1053,4984,NA,4605,856,5713,3659,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.30.January",2010-01-30,3961,2003,3221,NA,1378,4515,5921,4657,NA,4072,367,5315,2572,NA,NA,NA,NA
